Company,Rating,Role_name,Salary_Estimate,Pros,Cons,Recommend %
Haystek Technologies,N/A,AI - ML Developer Lead(Computer Vision),₹4L (Employer Est.),No Pros Available,No Cons Available,N/A
Ekshvaku Tech Innovation,N/A,Senior Mobile Application Developer,N/A,No Pros Available,No Cons Available,N/A
Bristol-Myers Squibb,3.8,"Software Engineer I, Veeva CRM Testing - Veeva CRM, Field Enablement",₹9L - ₹10L (Glassdoor Est.),"""BMS had good pay and benefits"" (in 39 reviews)
""There is good culture here"" (in 48 reviews)
""Good work/life balance"" (in 38 reviews)
""Great people to work with"" (in 39 reviews)
""Fast Paced, Management listens to you"" (in 45 reviews)","""No benefits for contractors"" (in 39 reviews)
""Poor culture."" (in 48 reviews)
""no work life balance."" (in 38 reviews)
""bad management leads to lots of problems"" (in 45 reviews)","69 %
Recommend to a friend
70 %
Approve of CEO
Chris Boerner, PhD
1,914 Ratings"
Indeed,4.0,Salesforce Developer I,₹22L - ₹32L (Employer Est.),"""Good work life balance with free snacks and games."" (in 82 reviews)
""Until recent layoffs very stable"" (in 73 reviews)
""(Had) good RnD culture that was built up from the early days."" (in 61 reviews)
""Leadership is actively making changes to align with future growth."" (in 42 reviews)
""Good place to work WLB chill Good pay"" (in 69 reviews)","""Work life balance is bad"" (in 82 reviews)
""annual layoffs seem random"" (in 73 reviews)
""small product scope, low impact work, and not much career growth and technical complexity bland corporate culture"" (in 61 reviews)
""Really poor senior leadership and decision making"" (in 42 reviews)
""Maybe not the best pay"" (in 69 reviews)","76 %
Recommend to a friend
69 %
Approve of CEO
Chris Hyams
1,974 Ratings"
Indeed,4.0,Software Engineer II,₹29L - ₹44L (Employer Est.),"""Good work life balance with free snacks and games."" (in 82 reviews)
""Until recent layoffs very stable"" (in 73 reviews)
""(Had) good RnD culture that was built up from the early days."" (in 61 reviews)
""Leadership is actively making changes to align with future growth."" (in 42 reviews)
""Good place to work WLB chill Good pay"" (in 69 reviews)","""Work life balance is bad"" (in 82 reviews)
""annual layoffs seem random"" (in 73 reviews)
""small product scope, low impact work, and not much career growth and technical complexity bland corporate culture"" (in 61 reviews)
""Really poor senior leadership and decision making"" (in 42 reviews)
""Maybe not the best pay"" (in 69 reviews)","76 %
Recommend to a friend
69 %
Approve of CEO
Chris Hyams
1,974 Ratings"
Zelis,3.8,Software Engineering Manager,₹750.00 Per hour (Employer Est.),"""Good team and nice place to grow in your skills."" (in 5 reviews)
""The work life balance that remote work allows at Zelis is amazing."" (in 6 reviews)
""High career growth"" (in 5 reviews)
""Good Pay with good bonus"" (in 5 reviews)","""What about trainining sessions to get a new employee up to speed and adjusted to a new team?"" (in 5 reviews)
""Less Growth and work culture not appreciable"" (in 5 reviews)","65 %
Recommend to a friend
84 %
Approve of CEO
Amanda Eisel
115 Ratings"
ITI Data,4.0,Ab Initio Developer,₹7L - ₹10L (Glassdoor Est.),"""1. Huge huge opportunity to learn."" (in 1 review)","""Poor HR team and poor Management"" (in 2 reviews)","76 %
Recommend to a friend
81 %
Approve of CEO
Brian Vaske
76 Ratings"
Infor,4.0,"Software Engineer, Associate",₹6L - ₹9L (Glassdoor Est.),"""Good work life balance which is important"" (in 258 reviews)
""Competitive salary also for experienced new hires (so ask for more during negotiation!)"" (in 221 reviews)
""3. Good Benefits"" (in 75 reviews)
""The company has a great culture enabling individual transformation and growth."" (in 108 reviews)
""Good people to work with"" (in 112 reviews)","""No work life balance"" (in 258 reviews)
""Other companies will give you the right salary even if your asking price is low."" (in 221 reviews)
""less benefits , old technologies ,no proper practices"" (in 75 reviews)
""Not much of a culture"" (in 108 reviews)
""Good smart people to work with."" (in 112 reviews)","81 %
Recommend to a friend
87 %
Approve of CEO
Kevin Samuelson
1,744 Ratings"
SmartWinnr,4.5,Software Engineer (Recent Graduate),₹1L - ₹4L (Glassdoor Est.),No Pros Available,No Cons Available,"91 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings"
Qualcomm,3.9,Associate Engineer- Software QA,₹2L - ₹5L (Glassdoor Est.),"""Good work life balance (In my team"" (in 729 reviews)
""salary is good and competitive"" (in 591 reviews)
""Good benefits and health insurance"" (in 284 reviews)
""good work culture and employee benifits"" (in 404 reviews)
""Management is good"" (in 168 reviews)","""No work life balance and no much growth"" (in 729 reviews)
""low salary for start but growth yearly better than other companies"" (in 591 reviews)
""Less benefits than other companies, but it's not that important in my opinion"" (in 284 reviews)
""Work culture is toxic and lots of micromanaging."" (in 404 reviews)
""&gt; Sometimes Poor Management"" (in 168 reviews)","78 %
Recommend to a friend
75 %
Approve of CEO
Cristiano Amon
1,658 Ratings"
Zelis,3.8,Senior Engineer - Automation Engineering,N/A,No Pros Available,No Cons Available,"65 %
Recommend to a friend
84 %
Approve of CEO
Amanda Eisel
115 Ratings"
ITI Data,4.0,Kafka Developer,N/A,No Pros Available,No Cons Available,"76 %
Recommend to a friend
81 %
Approve of CEO
Brian Vaske
76 Ratings"
Bristol-Myers Squibb,3.8,"Software Engineer II, Cloud Engineer",₹9L - ₹10L (Glassdoor Est.),"""BMS had good pay and benefits"" (in 39 reviews)
""There is good culture here"" (in 48 reviews)
""Good work/life balance"" (in 38 reviews)
""Great people to work with"" (in 39 reviews)
""Fast Paced, Management listens to you"" (in 45 reviews)","""No benefits for contractors"" (in 39 reviews)
""Poor culture."" (in 48 reviews)
""no work life balance."" (in 38 reviews)
""bad management leads to lots of problems"" (in 45 reviews)","69 %
Recommend to a friend
70 %
Approve of CEO
Chris Boerner, PhD
1,914 Ratings"
Optum,3.5,Software Engineer - ETL,₹8L - ₹10L (Glassdoor Est.),"""Hybrid and good work life balance"" (in 796 reviews)
""The work culture is good and seniors help you to understand the work and solving issues."" (in 343 reviews)
""Good salary and keep updating as per market standards"" (in 552 reviews)
""Management is good"" (in 279 reviews)
""Remote and Dynamic work environment good benefits"" (in 202 reviews)","""For few proj work is to much where we need to extend and no work life balance for women employees"" (in 796 reviews)
""Bad work culture"" (in 343 reviews)
""Less salary hike overall good"" (in 552 reviews)
""Poor management and too much micromanagement"" (in 279 reviews)
""There are no benefits provided like free meal apart from free cab and internet reimbursement."" (in 202 reviews)","63 %
Recommend to a friend
66 %
Approve of CEO
Andrew Witty
3,771 Ratings"
